Avatar,761000000.0,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,PG_13
Titanic,659000000.0,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,PG_13
The Avengers,623000000.0,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,PG_13
The Dark Knight,533000000.0,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,PG_13
Star Wars: Episode I - The Phantom Menace,475000000.0,George Lucas,Ewan McGregor,Liam Neeson,Natalie Portman,PG
Star Wars,461000000.0,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,PG
The Dark Knight Rises,448000000.0,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,PG_13
Shrek 2,436000000.0,Andrew Adamson,Kelly Asbury,Mike Myers,Eddie Murphy,PG
The Hunger Games: Catching Fire,425000000.0,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,PG_13
Pirates of the Caribbean: Dead Man's Chest,423000000.0,Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,PG_13
The Lion King,423000000.0,Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,G
Toy Story 3,415000000.0,Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,G
Iron Man 3,409000000.0,Shane Black,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,PG_13
The Hunger Games,408000000.0,Gary Ross,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,PG_13
Spider-Man,404000000.0,Sam Raimi,Tobey Maguire,Kirsten Dunst,Willem Dafoe,PG_13
Jurassic Park,402000000.0,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,PG_13
Transformers: Revenge of the Fallen,402000000.0,Michael Bay,Shia LaBeouf,Megan Fox,Josh Duhamel,PG_13
Frozen,401000000.0,Chris Buck,Jennifer Lee,Kristen Bell,Idina Menzel,PG
Harry Potter and the Deathly Hallows: Part 2,381000000.0,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,PG_13
Finding Nemo,381000000.0,Andrew Stanton,Lee Unkrich,Albert Brooks,Ellen DeGeneres,G
Star Wars: Episode III - Revenge of the Sith,380000000.0,George Lucas,Hayden Christensen,Natalie Portman,Ewan McGregor,PG_13
The Lord of the Rings: The Return of the King,377000000.0,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,PG_13
Spider-Man 2,373000000.0,Sam Raimi,Tobey Maguire,Kirsten Dunst,Alfred Molina,PG_13
Despicable Me 2,368000000.0,Pierre Coffin,Chris Renaud,Steve Carell,Kristen Wiig,PG
Transformers: Dark of the Moon,352000000.0,Michael Bay,Shia LaBeouf,Rosie Huntington-Whiteley,Tyrese Gibson,PG_13
The Lord of the Rings: The Two Towers,340000000.0,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,PG_13
Spider-Man 3,337000000.0,Sam Raimi,Tobey Maguire,Kirsten Dunst,Topher Grace,PG_13
Alice in Wonderland,334000000.0,Tim Burton,Mia Wasikowska,Johnny Depp,Helena Bonham Carter,PG
Guardians of the Galaxy,330000000.0,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,PG_13
Forrest Gump,330000000.0,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,PG_13
